id;solicitante;anonima;data_solicitacao;endereco_entrega;local_de_entrega;data_aprovacao;aprovado;ativa
1;programming;true;2022-03-04T17:31:40;Producer;copying Rubber;2022-03-05;false;true
2;deploy Slovenia;true;2022-03-05T01:38:27;Concrete Nevada Operations;mindshare District Cambridgeshire;2022-03-04;false;false
3;Iowa auxiliary;true;2022-03-04T22:48:40;Alabama;magnetic;2022-03-05;true;false
4;networks;true;2022-03-04T19:12:06;Intranet Pants auxiliary;Adaptive capability;2022-03-04;true;true
5;blue;true;2022-03-04T17:42:50;orchid;Morocco;2022-03-05;true;false
6;GB intangible;true;2022-03-05T01:13:18;Berkshire Future;Response;2022-03-05;true;true
7;Alabama;true;2022-03-04T17:38:30;Cotton Indiana generation;wireless;2022-03-05;true;false
8;Legacy Berkshire Vision-oriented;true;2022-03-05T03:14:07;networks Fantastic cross-platform;collaborative;2022-03-04;true;false
9;open-source;true;2022-03-05T05:02:01;alliance matrix;multimedia Buckinghamshire Progressive;2022-03-04;false;true
10;Functionality;true;2022-03-05T05:08:53;RSS connect;dynamic invoice Intelligent;2022-03-04;false;false
